jdn_id,jdn_jtp_id,jdn_symbol,jdn_nazwa,jdn_aktywny,jdn_urz_id_wpro,jdn_data_wpro,jdn_urz_id_mod,jdn_data_mod,jdn_jdn_id,jdn_ulica,jdn_nr_bud,jdn_kod_pocztowy,jdn_regon,jdn_nazwa_pelna,jdn_jro_id,jdn_nip,jdn_nip_vat,jdn_nr_sap,jdn_nr_jpk
207,2,GI123/BIA,Gimnazjum nr 123 z Oddziałami Dwujęzycznymi i Oddziałami Integracyjnymi im. Jana Pawła II,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Gimnazjum nr 123 z Oddziałami Dwujęzycznymi i Oddziałami Integracyjnymi im. Jana Pawła II,NULL,NULL,NULL,NULL,1045
208,2,GI124/BIA,Gimnazjum nr 124 im. Polskich Noblistów,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Gimnazjum nr 124 im. Polskich Noblistów,NULL,NULL,NULL,NULL,1046
209,2,GI164/BIA,Gimnazjum nr 164 z Oddziałami Integracyjnymi,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Gimnazjum nr 164 z Oddziałami Integracyjnymi,NULL,NULL,NULL,NULL,1047
210,2,PPP21/BIA,Poradnia Psychologiczno-Pedagogiczna nr 21,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Poradnia Psychologiczno-Pedagogiczna nr 21,NULL,NULL,NULL,NULL,1048
211,2,PS192/BIA,"Przedszkole nr 192 ""Wesoły Pędzelek""",1,1,2014-03-27 12:00,NULL,NULL,35,,,,,"Przedszkole nr 192 ""Wesoły Pędzelek""",NULL,NULL,NULL,NULL,1049
212,2,PS414/BIA,Przedszkole nr 414,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Przedszkole nr 414,NULL,NULL,NULL,NULL,1050
213,2,PS64/BIA,Przedszkole nr 64 im. Przyjaciół Kubusia Puchatka,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Przedszkole nr 64 im. Przyjaciół Kubusia Puchatka,NULL,NULL,NULL,NULL,1051
214,2,PS76/BIA,Przedszkole nr 76 im. Warsa i Sawy,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Przedszkole nr 76 im. Warsa i Sawy,NULL,NULL,NULL,NULL,1052
215,2,PS226/BIA,"Przedszkole z Oddziałami Integracyjnymi nr 226 ""Małego Europejczyka""",1,1,2014-03-27 12:00,NULL,NULL,35,,,,,"Przedszkole z Oddziałami Integracyjnymi nr 226 ""Małego Europejczyka""",NULL,NULL,NULL,NULL,1053
216,2,PS65/BIA,"Przedszkole z Oddziałami Integracyjnymi nr 65 ""Tarchominek""",1,1,2014-03-27 12:00,NULL,NULL,35,,,,,"Przedszkole z Oddziałami Integracyjnymi nr 65 ""Tarchominek""",NULL,NULL,NULL,NULL,1054
217,2,SP110/BIA,Szkoła Podstawowa nr 110 im. K. Jeżewskiego,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 110 im. K. Jeżewskiego,NULL,NULL,NULL,NULL,1055
218,2,SP112/BIA,Szkoła Podstawowa nr 112 z Oddziałami Integracyjnymi im. Marii Kownackiej,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 112 z Oddziałami Integracyjnymi im. Marii Kownackiej,NULL,NULL,NULL,NULL,1056
219,2,SP118/BIA,Szkoła Podstawowa nr 118 im. Przyjaciół Mazowsza,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 118 im. Przyjaciół Mazowsza,NULL,NULL,NULL,NULL,1057
220,2,SP154/BIA,Szkoła Podstawowa nr 154 z Oddziałami Integracyjnymi im. Pawła Edmunda Strzeleckiego,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 154 z Oddziałami Integracyjnymi im. Pawła Edmunda Strzeleckiego,NULL,NULL,NULL,NULL,1058
221,2,SP231/BIA,Szkoła Podstawowa nr 231 im. gen. Mariusza Zaruskiego,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 231 im. gen. Mariusza Zaruskiego,NULL,NULL,NULL,NULL,1059
222,2,SP257/BIA,Szkoła Podstawowa nr 257 im. prof. M. Falskiego,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 257 im. prof. M. Falskiego,NULL,NULL,NULL,NULL,1060
